"35785","VIRY-CHATILLON","91170","31700"
"35787","ETAMPES","91150","22200"
"35797","CORBEIL-ESSONNES","91100","41700"
"35801","ORSAY","91400","16300"
"35804","MASSY","91300","40500"
"35806","YERRES","91330","29000"
"35810","GIF-SUR-YVETTE","91190","21200"
"35816","CHILLY-MAZARIN","91380","18400"
"35825","LES ULIS","91940","24600"
"35826","ATHIS-MONS","91200","30600"
"35851","MORSANG-SUR-ORGE","91390","21100"
"35857","MONTGERON","91230","22700"
"35861","BRETIGNY-SUR-ORGE","91220","22500"
"35888","SAINTE-GENEVIEVE-DES-BOIS","91700","34000"
"35890","SAVIGNY-SUR-ORGE","91600","37300"
"35899","LONGJUMEAU","91160","21400"
"35901","NEUILLY-SUR-SEINE","92200","60300"
"35902","CHATILLON","92320","32500"
"35903","BOIS-COLOMBES","92270","27800"
"35904","PUTEAUX","92800","44500"
"35905","CLAMART","92140","51400"
"35906","MEUDON","92190-92360","44700"
"35908","ISSY-LES-MOULINEAUX","92130","63300"
"35910","RUEIL-MALMAISON","92500","78100"
"35911","ANTONY","92160","61200"
"35912","LE PLESSIS-ROBINSON","92350","24700"
"35913","LEVALLOIS-PERRET","92300","63000"
"35914","BOULOGNE-BILLANCOURT","92100","112200"
"35915","ASNIERES-SUR-SEINE","92600","81700"
"35916","COLOMBES","92700","83700"
"35917","FONTENAY-AUX-ROSES","92260","24100"
"35918","GARCHES","92380","18200"
"35919","VILLENEUVE-LA-GARENNE","92390","24700"
"35920","COURBEVOIE","92400","85100"
"35921","MONTROUGE","92120","46700"
"35922","CHATENAY-MALABRY","92290","31900"
"35923","CLICHY","92110","58400"
"35924","VANVES","92170","26500"
"35926","SURESNES","92150","45600"
"35927","SEVRES","92310","23100"
"35928","SCEAUX","92330","19600"
"35929","CHAVILLE","92370","18100"
"35930","LA GARENNE-COLOMBES","92250","26700"
"35931","GENNEVILLIERS","92230","41800"
"35932","NANTERRE","92000","89600"
"35933","SAINT-CLOUD","92210","29800"
"35934","MALAKOFF","92240","30900"
"35935","BAGNEUX","92220","38500"
"35936","BOURG-LA-REINE","92340","20000"
"35938","BAGNOLET","93170","34000"
"35939","LA COURNEUVE","93120","36900"
"35940","LES PAVILLONS-SOUS-BOIS","93320","20700"
"35941","SEVRAN","93270","50800"
"35942","VILLEMOMBLE","93250","28200"
"35943","MONTREUIL","93100","102200"
"35944","LIVRY-GARGAN","93190","41800"
"35945","AULNAY-SOUS-BOIS","93600","82200"
"35950","SAINT-DENIS","93200-93210","103700"
"35951","LES LILAS","93260","22200"
"35952","CLICHY-SOUS-BOIS","93390","29100"
"35953","NOISY-LE-GRAND","93160","63100"
"35954","ROMAINVILLE","93230","25600"
"35955","AUBERVILLIERS","93300","74500"
"35956","NOISY-LE-SEC","93130","38700"
"35957","VILLEPINTE","93420","35800"
"35958","BOBIGNY","93000","47700"
"35959","PIERREFITTE-SUR-SEINE","93380","28900"
"35960","TREMBLAY-EN-FRANCE","93290","35500"
"35962","MONTFERMEIL","93370","24500"
"35964","LE PRE-SAINT-GERVAIS","93310","17600"
"35965","STAINS","93240","34600"
"35966","PANTIN","93500","52700"
"35967","NEUILLY-PLAISANCE","93360","20300"
"35968","ROSNY-SOUS-BOIS","93110","40800"
"35969","SAINT-OUEN","93400","45600"
"35971","BONDY","93140","53300"
"35972","EPINAY-SUR-SEINE","93800","52700"
"35973","NEUILLY-SUR-MARNE","93330","33200"
"35974","DRANCY","93700","66200"
"35975","LE BLANC-MESNIL","93150","50700"
"35976","GAGNY","93220","38300"
"35977","FONTENAY-SOUS-BOIS","94120","52800"
"35979","L'HAY-LES-ROSES","94240","29500"
"35980","LIMEIL-BREVANNES","94450","18800"
"35981","ALFORTVILLE","94140","44700"
"35982","LE PLESSIS-TREVISE","94420","18500"
"35983","CHOISY-LE-ROI","94600","38200"
"35984","SAINT-MANDE","94160","22500"
"35985","FRESNES","94260","25000"
"35986","VILLIERS-SUR-MARNE","94350","27500"
"35987","LE KREMLIN-BICETRE","94270","26100"
"35988","BOISSY-SAINT-LEGER","94470","15700"
"35991","ARCUEIL","94110","19800"
"35994","LE PERREUX-SUR-MARNE","94170","32300"
"35996","NOGENT-SUR-MARNE","94130","30900"
"35997","CACHAN","94230","27700"
"35998","SAINT-MAUR-DES-FOSSES","94100-94210","75700"
"36000","THIAIS","94320","29600"
"36001","SUCY-EN-BRIE","94880","26100"
"36003","VINCENNES","94300","48100"
"36004","CHARENTON-LE-PONT","94220","28600"
"36006","BRY-SUR-MARNE","94360","15300"
"36007","BONNEUIL-SUR-MARNE","94380","16500"
"36008","JOINVILLE-LE-PONT","94340","17400"
"36011","GENTILLY","94250","17400"
"36012","VILLEJUIF","94800","53200"
"36013","VITRY-SUR-SEINE","94400","84100"
"36014","CHEVILLY-LARUE","94550","19000"
"36015","CHENNEVIERES-SUR-MARNE","94430","17700"
"36017","CHAMPIGNY-SUR-MARNE","94500","75100"
"36018","IVRY-SUR-SEINE","94200","56700"
"36019","MAISONS-ALFORT","94700","52900"
"36020","ORLY","94310","20900"
"36021","VILLENEUVE-LE-ROI","94290","18500"
"36022","VILLENEUVE-SAINT-GEORGES","94190","30800"
"36023","CRETEIL","94000","89300"
"36025","OSNY","95520","15900"
"36028","CERGY","95000-95800","56100"
"36038","JOUY-LE-MOUTIER","95280","16700"
"36054","MONTMORENCY","95160","21400"
"36059","PONTOISE","95300","29700"
"36064","VAUREAL","95490","15700"
"36077","HERBLAY","95220","26000"
"36085","ERMONT","95120","27700"
"36091","GOUSSAINVILLE","95190","30600"
"36094","FRANCONVILLE","95130","33200"
"36098","GONESSE","95500","26500"
"36108","DEUIL-LA-BARRE","95170","21700"
"36109","BEZONS","95870","28000"
"36112","SAINT-GRATIEN","95210","20300"
"36118","TAVERNY","95150","26300"
"36126","CORMEILLES-EN-PARISIS","95240","22400"
"36132","SANNOIS","95110","25900"
"36149","SAINT-OUEN-L'AUMONE","95310","23200"
"36155","GARGES-LES-GONESSE","95140","39600"
"36157","MONTIGNY-LES-CORMEILLES","95370","18900"
"36169","EAUBONNE","95600","23800"
"36174","ARGENTEUIL","95100","103300"
"36176","VILLIERS-LE-BEL","95400","27000"
"36177","ERAGNY","95610","16600"
"36180","SARCELLES","95200","59200"
"36186","SOISY-SOUS-MONTMORENCY","95230","17400"
"36275","AJACCIO","20000-20090","65200"
"36464","BASTIA","20200-20600","43500"
"36569","ABYMES","97142","58534"
"36571","BAIE-MAHAULT","97122","30251"
"36575","CAPESTERRE-BELLE-EAU","97130","19321"
"36581","GOSIER","97190","26311"
"36583","LAMENTIN","97129","15913"
"36584","MORNE-A-L'EAU","97111","16725"
"36585","MOULE","97160","22381"
"36586","PETIT-BOURG","97170","23199"
"36588","POINTE-A-PITRE","97110","16427"
"36594","SAINTE-ANNE","97180","24192"
"36595","SAINTE-ROSE","97115","20155"
"36607","DUCOS","97224","16896"
"36609","FORT-DE-FRANCE","97234","87216"
"36610","FRANCOIS","97240","19218"
"36613","LAMENTIN","97232","39360"
"36622","ROBERT","97231","23918"
"36624","SAINT-JOSEPH","97212","16717"
"36628","SAINTE-MARIE","97230","18389"
"36629","SHOELCHER","97233","20814"
"36636","CAYENNE","97300","55753"
"36638","KOUROU","97310","25189"
"36641","MATOURY","97351","28110"
"36643","REMIRE-MONTJOLY","97354","19279"
"36645","SAINT-LAURENT-DU-MARONI","97320","38367"
"36663","PORT","97420","38418"
"36664","POSSESSION","97419","30373"
"36665","SAINT-ANDRE","97440","53955"
"36666","SAINT-BENOIT","97470","35063"
"36667","SAINT-DENIS","97490","145022"
"36668","SAINT-JOSEPH","97480","35976"
"36669","SAINT-LEU","97436","30966"
"36670","SAINT-LOUIS","97450","52038"
"36671","SAINT-PAUL","97460","103346"
"36672","SAINT-PIERRE","97432","79228"
"36674","SAINTE-MARIE","97438","29951"
"36676","SAINTE-SUZANNE","97441","22421"
"36678","TAMPON","97430","73365"
"36819","KOUNGOU","97600","26488"
"36820","MAMOUDZOU","97600","57281"
"36828","SAINT MARTIN","97150","36979"
